Sept. 7, 2022   15:39:14
Linear Sweep Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1
Comp R (ohm) = 1.2


Potential/V, Current/A

0.404, -3.761e-3
0.405, -3.757e-3
0.406, -3.749e-3
0.407, -3.726e-3
0.408, -3.704e-3
0.409, -3.687e-3
0.410, -3.662e-3
0.411, -3.637e-3
0.412, -3.599e-3
0.413, -3.580e-3
0.414, -3.550e-3
0.415, -3.521e-3
0.416, -3.495e-3
0.417, -3.437e-3
0.418, -3.369e-3
0.419, -3.337e-3
0.420, -3.310e-3
0.421, -3.243e-3
0.422, -3.200e-3
0.423, -3.135e-3
0.424, -3.144e-3
0.425, -3.062e-3
0.426, -2.949e-3
0.427, -2.947e-3
0.428, -2.916e-3
0.429, -2.863e-3
0.430, -2.786e-3
0.431, -2.724e-3
0.432, -2.673e-3
0.433, -2.643e-3
0.434, -2.617e-3
0.435, -2.536e-3
0.436, -2.488e-3
0.437, -2.430e-3
0.438, -2.390e-3
0.439, -2.360e-3
0.440, -2.335e-3
0.441, -2.297e-3
0.442, -2.270e-3
0.443, -2.243e-3
0.444, -2.219e-3
0.445, -2.196e-3
0.446, -2.175e-3
0.447, -2.165e-3
0.448, -2.146e-3
0.449, -2.135e-3
0.450, -2.134e-3
0.451, -2.135e-3
0.452, -2.144e-3
0.453, -2.150e-3
0.454, -2.156e-3
0.455, -2.164e-3
0.456, -2.190e-3
0.457, -2.192e-3
0.458, -2.199e-3
0.459, -2.219e-3
0.460, -2.244e-3
0.461, -2.269e-3
0.462, -2.303e-3
0.463, -2.341e-3
0.464, -2.361e-3
0.465, -2.407e-3
0.466, -2.467e-3
0.467, -2.499e-3
0.468, -2.513e-3
0.469, -2.549e-3
0.470, -2.602e-3
0.471, -2.632e-3
0.472, -2.680e-3
0.473, -2.731e-3
0.474, -2.782e-3
0.475, -2.827e-3
0.476, -2.873e-3
0.477, -2.912e-3
0.478, -2.956e-3
0.479, -2.998e-3
0.480, -3.040e-3
0.481, -3.067e-3
0.482, -3.099e-3
0.483, -3.123e-3
0.484, -3.143e-3
0.485, -3.162e-3
0.486, -3.182e-3
0.487, -3.207e-3
0.488, -3.220e-3
0.489, -3.236e-3
0.490, -3.253e-3
0.491, -3.264e-3
0.492, -3.275e-3
0.493, -3.307e-3
0.494, -3.319e-3
0.495, -3.332e-3
0.496, -3.343e-3
0.497, -3.352e-3
0.498, -3.365e-3
0.499, -3.379e-3
0.500, -3.397e-3
0.501, -3.411e-3
0.502, -3.422e-3
0.503, -3.432e-3
0.504, -3.445e-3
0.505, -3.446e-3
0.506, -3.454e-3
0.507, -3.463e-3
0.508, -3.465e-3
0.509, -3.477e-3
0.510, -3.478e-3
0.511, -3.484e-3
0.512, -3.484e-3
0.513, -3.494e-3
0.514, -3.499e-3
0.515, -3.502e-3
0.516, -3.505e-3
0.517, -3.505e-3
0.518, -3.503e-3
0.519, -3.510e-3
0.520, -3.514e-3
0.521, -3.519e-3
0.522, -3.514e-3
0.523, -3.520e-3
0.524, -3.525e-3
0.525, -3.529e-3
0.526, -3.534e-3
0.527, -3.536e-3
0.528, -3.548e-3
0.529, -3.546e-3
0.530, -3.549e-3
0.531, -3.560e-3
0.532, -3.567e-3
0.533, -3.574e-3
0.534, -3.574e-3
0.535, -3.582e-3
0.536, -3.582e-3
0.537, -3.586e-3
0.538, -3.593e-3
0.539, -3.604e-3
0.540, -3.606e-3
0.541, -3.613e-3
0.542, -3.616e-3
0.543, -3.625e-3
0.544, -3.623e-3
0.545, -3.633e-3
0.546, -3.633e-3
0.547, -3.642e-3
0.548, -3.645e-3
0.549, -3.649e-3
0.550, -3.654e-3
0.551, -3.654e-3
0.552, -3.659e-3
0.553, -3.664e-3
0.554, -3.662e-3
0.555, -3.674e-3
0.556, -3.661e-3
0.557, -3.671e-3
0.558, -3.671e-3
0.559, -3.664e-3
0.560, -3.661e-3
0.561, -3.659e-3
0.562, -3.666e-3
0.563, -3.672e-3
0.564, -3.657e-3
0.565, -3.663e-3
0.566, -3.662e-3
0.567, -3.655e-3
0.568, -3.648e-3
0.569, -3.638e-3
0.570, -3.641e-3
0.571, -3.636e-3
0.572, -3.626e-3
0.573, -3.611e-3
0.574, -3.605e-3
0.575, -3.594e-3
0.576, -3.579e-3
0.577, -3.572e-3
0.578, -3.558e-3
0.579, -3.552e-3
0.580, -3.547e-3
0.581, -3.520e-3
0.582, -3.500e-3
0.583, -3.479e-3
0.584, -3.477e-3
0.585, -3.454e-3
0.586, -3.433e-3
0.587, -3.410e-3
0.588, -3.397e-3
0.589, -3.372e-3
0.590, -3.337e-3
0.591, -3.305e-3
0.592, -3.289e-3
0.593, -3.262e-3
0.594, -3.238e-3
0.595, -3.217e-3
0.596, -3.181e-3
0.597, -3.154e-3
0.598, -3.127e-3
0.599, -3.087e-3
0.600, -3.056e-3
0.601, -3.030e-3
0.602, -3.001e-3
0.603, -2.968e-3
0.604, -2.940e-3
0.605, -2.911e-3
0.606, -2.888e-3
0.607, -2.852e-3
0.608, -2.825e-3
0.609, -2.793e-3
0.610, -2.752e-3
0.611, -2.710e-3
0.612, -2.673e-3
0.613, -2.631e-3
0.614, -2.576e-3
0.615, -2.518e-3
0.616, -2.473e-3
0.617, -2.436e-3
0.618, -2.392e-3
0.619, -2.342e-3
0.620, -2.301e-3
0.621, -2.252e-3
0.622, -2.198e-3
0.623, -2.137e-3
0.624, -2.073e-3
0.625, -2.005e-3
0.626, -1.939e-3
0.627, -1.877e-3
0.628, -1.813e-3
0.629, -1.743e-3
0.630, -1.674e-3
0.631, -1.604e-3
0.632, -1.520e-3
0.633, -1.435e-3
0.634, -1.354e-3
0.635, -1.274e-3
0.636, -1.182e-3
0.637, -1.094e-3
0.638, -1.004e-3
0.639, -9.009e-4
0.640, -7.949e-4
0.641, -6.893e-4
0.642, -5.813e-4
0.643, -4.638e-4
0.644, -3.410e-4
0.645, -2.376e-4
0.646, -1.197e-4
0.647, 1.391e-5
0.648, 1.480e-4
0.649, 2.796e-4
0.650, 4.241e-4
0.651, 5.525e-4
0.652, 6.719e-4
0.653, 8.639e-4
0.654, 1.027e-3
0.655, 1.185e-3
0.656, 1.350e-3
0.657, 1.524e-3
0.658, 1.671e-3
0.659, 1.834e-3
0.660, 2.040e-3
0.661, 2.210e-3
0.662, 2.408e-3
0.663, 2.639e-3
0.664, 2.857e-3
0.665, 3.060e-3
0.666, 3.288e-3
0.667, 3.511e-3
0.668, 3.737e-3
0.669, 3.972e-3
0.670, 4.216e-3
0.671, 4.468e-3
0.672, 4.729e-3
0.673, 4.992e-3
0.674, 5.257e-3
0.675, 5.537e-3
0.676, 5.827e-3
0.677, 6.109e-3
0.678, 6.410e-3
0.679, 6.716e-3
0.680, 7.029e-3
0.681, 7.348e-3
0.682, 7.672e-3
